
BenchmarkDotNet=v0.12.1, OS=macOS Catalina 10.15.3 (19D76) [Darwin 19.3.0]
Intel Core i5-5350U CPU 1.80GHz (Broadwell), 1 CPU, 4 logical and 2 physical cores
.NET Core SDK=3.1.102
  [Host]     : .NET Core 3.1.2 (CoreCLR 4.700.20.6602, CoreFX 4.700.20.6702), X64 RyuJIT
  DefaultJob : .NET Core 3.1.2 (CoreCLR 4.700.20.6602, CoreFX 4.700.20.6702), X64 RyuJIT


|                    Method |      Mean |    Error |   StdDev |    Median |  Gen 0 | Gen 1 | Gen 2 | Allocated |
|            StringFormat_6 | 346.03 ns | 2.631 ns | 2.332 ns | 345.21 ns | 0.0763 |     - |     - |     120 B |
|            StringFormat_7 | 377.29 ns | 2.487 ns | 2.205 ns | 377.23 ns | 0.0815 |     - |     - |     128 B |
|            StringFormat_8 | 407.09 ns | 2.922 ns | 2.590 ns | 406.10 ns | 0.0916 |     - |     - |     144 B |
|            StringFormat_9 | 444.92 ns | 4.586 ns | 4.290 ns | 442.15 ns | 0.0968 |     - |     - |     152 B |
|           StringFormat_10 | 488.19 ns | 1.951 ns | 1.730 ns | 488.21 ns | 0.1068 |     - |     - |     168 B |
|     StringBuilderAppend_1 |  42.92 ns | 0.555 ns | 0.519 ns |  42.83 ns | 0.0867 |     - |     - |     136 B |
|     StringBuilderAppend_2 |  47.60 ns | 0.783 ns | 0.694 ns |  47.40 ns | 0.0867 |     - |     - |     136 B |
|     StringBuilderAppend_3 |  55.60 ns | 1.099 ns | 1.028 ns |  55.22 ns | 0.0867 |     - |     - |     136 B |
|     StringBuilderAppend_4 |  63.80 ns | 1.344 ns | 1.839 ns |  62.90 ns | 0.0918 |     - |     - |     144 B |
|     StringBuilderAppend_5 |  73.73 ns | 0.509 ns | 0.425 ns |  73.62 ns | 0.0918 |     - |     - |     144 B |
|     StringBuilderAppend_6 |  82.96 ns | 0.704 ns | 0.658 ns |  82.70 ns | 0.0969 |     - |     - |     152 B |
|     StringBuilderAppend_7 |  87.50 ns | 0.619 ns | 0.517 ns |  87.47 ns | 0.0969 |     - |     - |     152 B |
|     StringBuilderAppend_8 | 103.54 ns | 1.586 ns | 1.483 ns | 103.47 ns | 0.1019 |     - |     - |     160 B |
|     StringBuilderAppend_9 | 174.11 ns | 1.778 ns | 1.576 ns | 173.53 ns | 0.1683 |     - |     - |     264 B |
|    StringBuilderAppend_10 | 179.95 ns | 1.389 ns | 1.299 ns | 180.06 ns | 0.1733 |     - |     - |     272 B |
|          InterpolationFor |  29.06 ns | 0.249 ns | 0.221 ns |  29.05 ns | 0.0204 |     - |     - |      32 B |
|           PlusOperatorFor |  28.83 ns | 0.151 ns | 0.126 ns |  28.80 ns | 0.0204 |     - |     - |      32 B |
|      StringConcatenateFor |  28.64 ns | 0.187 ns | 0.166 ns |  28.61 ns | 0.0204 |     - |     - |      32 B |
|             StringJoinFor |  52.98 ns | 0.248 ns | 0.232 ns |  52.97 ns | 0.0459 |     - |     - |      72 B |
|           StringFormatFor | 129.86 ns | 2.680 ns | 4.092 ns | 129.64 ns | 0.0203 |     - |     - |      32 B |
|    StringBuilderAppendFor |  47.75 ns | 0.485 ns | 0.454 ns |  47.77 ns | 0.0867 |     - |     - |     136 B |
| StringBuilderAppendForNew |  32.18 ns | 0.318 ns | 0.281 ns |  32.06 ns | 0.0663 |     - |     - |     104 B |

